n_lines,N,val,std,desviacion error empirico,t,desviacion real
100000.0,100.0,-0.10866001746388244,-0.05357213137228577,0.2470669046892011,1.0,0.16989861300022885
100000.0,166.0,-0.1135723445670935,-0.05487931234126732,0.25329360515783766,2.0,0.13237119825333296
100000.0,278.0,-0.11730295898622466,-0.05566282505310788,0.25960741183550967,5.0,0.10387140342575105
100000.0,464.0,-0.12042404142256417,-0.05627147116161307,0.2631965243668781,9.0,0.08002808994379601
100000.0,774.0,-0.12256558096730229,-0.056806530003521476,0.2689529857287259,18.0,0.06366793293394779
100000.0,1291.0,-0.1245800962153571,-0.05720814213202568,0.2720935539643074,34.0,0.04827817007017571
100000.0,2154.0,-0.1258930267490538,-0.0573275022575425,0.2732432715320697,65.0,0.038248119620218304
100000.0,3593.0,-0.12703466069706779,-0.05773912288637414,0.27732184364046175,125.0,0.02952667869087718
100000.0,5994.0,-0.12790584417427184,-0.05799393799204717,0.2803707966538942,245.0,0.02287132716750068
100000.0,10000.0,-0.12843430716820609,-0.057927971691767395,0.28101462163974084,487.0,0.018834167276663344
